"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
3,25,152,"B00U7LJOAE",false,0,"USD",0,0,0,190,4.2,"https://www.amazon.com/dp/B00U7LJOAE","798.00",false,false,false,false,"Death by Tea (A Bookstore Cafe Mystery Book 2)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91WEYiEikCL._AC_UL320_.jpg"
3,26,153,"B07L2F7MKY",false,0,"USD",0,0,0,117,4.6,"https://www.amazon.com/dp/B07L2F7MKY","538.20",false,false,false,false,"Death by Café Mocha (A Bookstore Cafe Mystery Book 7)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91u+XqBe+qL._AC_UL320_.jpg"
3,27,154,"0735222355",true,16.94,"USD",30,13.06,43.53,70075,4.4,"https://www.amazon.com/dp/0735222355","308330.00",false,false,false,false,"The Lincoln Highway: A Novel","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91DUhtU6KCL._AC_UL320_.jpg"
3,28,155,"1648276229",false,14.99,"USD",0,0,0,46,4.6,"https://www.amazon.com/dp/1648276229","211.60",false,false,false,false,"The Haunted Bookstore - Gateway to a Parallel Universe (Light Novel) Vol. 1","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81czUJej21L._AC_UL320_.jpg"
3,29,156,"B08SBMCSQQ",false,9.99,"USD",0,0,0,55868,4.1,"https://www.amazon.com/dp/B08SBMCSQQ","229058.80",false,false,false,false,"Better Off Dead: A Jack Reacher Novel","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81Q+Sjg5yHL._AC_UL320_.jpg"
3,30,157,"B001N3LLIS",false,3.99,"USD",0,0,0,16610,4.8,"https://www.amazon.com/dp/B001N3LLIS","79728.00",false,false,false,false,"You've Got Mail","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81PMUhb6TJL._AC_UL320_.jpg"
3,34,161,"1792373163",false,17.95,"USD",0,0,0,3,4.1,"https://www.amazon.com/dp/1792373163","12.30",false,false,false,false,"Sponsored Ad - O'Donovan's Travels: A Healer’s Potion","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61x69oK0akL._AC_UL320_.jpg"
3,35,162,"B09YY1VHKX",false,39.68,"USD",0,0,0,15,4.5,"https://www.amazon.com/dp/B09YY1VHKX","67.50",false,false,false,false,"Sponsored Ad - UNiPLAY Kids Plastic Bookcase Display Storage Rack, 4 Tier Bookshelf with Stacking Block Play Side Panels,...","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61kft2G0zaL._AC_UL320_.jpg"
3,36,163,"1947588168",true,19.99,"USD",24.95,4.96,19.88,4,4.7,"https://www.amazon.com/dp/1947588168","18.80",false,false,false,false,"Sponsored Ad - Veil Not Fail: Protecting Your Personal Assets from Business Attacks (Rich Dad Advisor Series)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/710IOBQQ6kL._AC_UL320_.jpg"
3,37,164,"B07KQGKZTX",false,0,"USD",0,0,0,387,4.4,"https://www.amazon.com/dp/B07KQGKZTX","1702.80",false,false,false,false,"Murder at the Bookstore: Cottonwood Springs Cozy Mystery Series","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91bL6M0tycL._AC_UL320_.jpg"
3,38,165,"0593237463",false,0,"USD",0,0,0,1553,4.6,"https://www.amazon.com/dp/0593237463","7143.80",false,false,true,false,"The Light We Carry: Overcoming in Uncertain Times","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91MowzF+WZL._AC_UL320_.jpg"
3,39,166,"B01A4APJ1A",false,0,"USD",0,0,0,327,4.1,"https://www.amazon.com/dp/B01A4APJ1A","1340.70",false,false,false,false,"Death by Pumpkin Spice (A Bookstore Cafe Mystery Book 3)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91-HJUvjR6L._AC_UL320_.jpg"
3,40,167,"194563183X",true,10.94,"USD",18.99,8.05,42.39,89889,4.5,"https://www.amazon.com/dp/194563183X","404500.50",false,false,false,false,"Things We Never Got Over (Knockemout)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71HsLc-TNlL._AC_UL320_.jpg"
3,41,168,"B07JHP3DYX",false,0.99,"USD",0,0,0,173,4.2,"https://www.amazon.com/dp/B07JHP3DYX","726.60",false,false,false,false,"Books and Brews (Back Room Bookstore Cozy Mystery Book 1)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81-FLgDvp-L._AC_UL320_.jpg"
3,42,169,"B08MKT3W4F",false,0,"USD",0,0,0,60,4.5,"https://www.amazon.com/dp/B08MKT3W4F","270.00",false,false,false,false,"Wine and Revenge: A Read Wine Bookstore Cozy Mystery Book 4","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81ycelYuUwL._AC_UL320_.jpg"
3,43,170,"0063251922",true,19.9,"USD",32.5,12.6,38.77,6409,4.6,"https://www.amazon.com/dp/0063251922","29481.40",false,false,true,false,"Demon Copperhead: A Novel","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91mP0HKLEwL._AC_UL320_.jpg"
3,44,171,"B000I9W2AO",false,2.99,"USD",0,0,0,1878,4.7,"https://www.amazon.com/dp/B000I9W2AO","8826.60",false,false,false,false,"Dragonslayer","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81-d03JMXfL._AC_UL320_.jpg"
3,45,172,"B09BKB191Y",true,12.99,"USD",22.1,9.11,41.22,1761,4.6,"https://www.amazon.com/dp/B09BKB191Y","8100.60",false,false,false,false,"The Vanishing Type: A Charming Bookish Cozy Mystery (A Secret, Book, and Scone Society Novel Book 5)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/813q3BW4P3L._AC_UL320_.jpg"
3,46,173,"B01LJKQH3I",false,0,"USD",0,0,0,116,4.5,"https://www.amazon.com/dp/B01LJKQH3I","522.00",false,false,false,false,"Death by Vanilla Latte (A Bookstore Cafe Mystery Book 4)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91WBlSj9oAL._AC_UL320_.jpg"
3,47,174,"1984818384",true,14,"USD",29.99,15.99,53.32,8085,4.5,"https://www.amazon.com/dp/1984818384","36382.50",false,false,true,false,"Mad Honey: A Novel","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/A1ymg0b1mLL._AC_UL320_.jpg"
3,48,175,"1423650433",false,16.99,"USD",0,0,0,5,5,"https://www.amazon.com/dp/1423650433","25.00",false,false,false,false,"Books & Mortar: A Celebration of the Local Bookstore","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71iQh-Ca1cL._AC_UL320_.jpg"
3,49,176,"B077J3DJGP",true,2.99,"USD",10.99,8,72.79,14,4.3,"https://www.amazon.com/dp/B077J3DJGP","60.20",false,false,false,false,"The Bookstore: fifteen years of love and counting (Forever Woman Book 6)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91EBh6OWhML._AC_UL320_.jpg"
3,50,177,"1250203929",true,7.59,"USD",9.99,2.4,24.02,547,4.6,"https://www.amazon.com/dp/1250203929","2516.20",false,false,false,false,"Deadly Editions: A Scottish Bookshop Mystery (A Scottish Bookshop Mystery, 6)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/918zK9NE-2L._AC_UL320_.jpg"
3,52,179,"B09R5ZPY6Y",true,0,"USD",26.9,26.9,100,25458,4.6,"https://www.amazon.com/dp/B09R5ZPY6Y","117106.80",false,false,true,false,"Fairy Tale","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/91tQkOHvW9L._AC_UL320_.jpg"
3,53,180,"B00VKX6UWI",true,34.96,"USD",59.99,25.03,41.72,225,4.2,"https://www.amazon.com/dp/B00VKX6UWI","945.00",false,false,false,false,"Rosamunde Pilcher's Shades of Love","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51hscEP5vSL._AC_UL320_.jpg"
3,54,181,"B09M681SBF",false,17.99,"USD",0,0,0,21,4.3,"https://www.amazon.com/dp/B09M681SBF","90.30",false,false,false,false,"Oubliert Vintage Garden Library London Bookstore Case Compatible with iPhone XR, Aesthetic Bookshelf Reading Lovers Case f...","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71uEBFRb7FL._AC_UL320_.jpg"
3,55,182,"B09RQ4L751",true,0,"USD",20.37,20.37,100,8123,4.4,"https://www.amazon.com/dp/B09RQ4L751","35741.20",false,false,true,false,"Friends, Lovers, and the Big Terrible Thing: A Memoir","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81Js8wlvnDL._AC_UL320_.jpg"
3,56,183,"B09JZ1QCS3",false,0,"USD",0,0,0,16,3.5,"https://www.amazon.com/dp/B09JZ1QCS3","56.00",false,false,false,false,"The Library Suicides","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/6134AyFyZqL._AC_UL320_.jpg"
3,57,184,"B01LXW2CGJ",false,9.99,"USD",0,0,0,8408,4.7,"https://www.amazon.com/dp/B01LXW2CGJ","39517.60",false,false,false,false,"16th Seduction (A Women's Murder Club Thriller)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/914xUgJBr5L._AC_UL320_.jpg"
3,58,185,"B0084ZYPYK",true,6.49,"USD",8.99,2.5,27.81,642,4.6,"https://www.amazon.com/dp/B0084ZYPYK","2953.20",false,false,false,false,"Delicious (The Buchanans Saga Book 1)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51PHJj6UnPL._AC_UL320_.jpg"
